Codigo region;Region;Codigo provincia;Provincia;Codigo comuna;Comuna;Sexo;Anos de escolaridad promedio;Anos de escolaridad promedio para la poblacion de 18 anos o mas
13;Metropolitana de Santiago;131;Santiago;13109;La Cisterna;Total Comuna;11,2;13,0
13;Metropolitana de Santiago;131;Santiago;13109;La Cisterna;Hombre;11,1;13,1
13;Metropolitana de Santiago;131;Santiago;13109;La Cisterna;Mujer;11,3;12,9
13;Metropolitana de Santiago;131;Santiago;13110;La Florida;Total Comuna;11,3;13,0
13;Metropolitana de Santiago;131;Santiago;13110;La Florida;Hombre;11,3;13,2
13;Metropolitana de Santiago;131;Santiago;13110;La Florida;Mujer;11,2;12,8
13;Metropolitana de Santiago;131;Santiago;13111;La Granja;Total Comuna;9,7;11,2
13;Metropolitana de Santiago;131;Santiago;13111;La Granja;Hombre;9,7;11,3
13;Metropolitana de Santiago;131;Santiago;13111;La Granja;Mujer;9,7;11,1
13;Metropolitana de Santiago;131;Santiago;13112;La Pintana;Total Comuna;8,8;10,4
13;Metropolitana de Santiago;131;Santiago;13112;La Pintana;Hombre;8,7;10,4
13;Metropolitana de Santiago;131;Santiago;13112;La Pintana;Mujer;8,9;10,4
13;Metropolitana de Santiago;131;Santiago;13113;La Reina;Total Comuna;12,8;15,0
13;Metropolitana de Santiago;131;Santiago;13113;La Reina;Hombre;12,8;15,3
13;Metropolitana de Santiago;131;Santiago;13113;La Reina;Mujer;12,7;14,7
13;Metropolitana de Santiago;131;Santiago;13114;Las Condes;Total Comuna;13,7;15,7
13;Metropolitana de Santiago;131;Santiago;13114;Las Condes;Hombre;13,8;16,2
13;Metropolitana de Santiago;131;Santiago;13114;Las Condes;Mujer;13,5;15,3
13;Metropolitana de Santiago;131;Santiago;13115;Lo Barnechea;Total Comuna;12,1;14,7
13;Metropolitana de Santiago;131;Santiago;13115;Lo Barnechea;Hombre;12,1;15,1
13;Metropolitana de Santiago;131;Santiago;13115;Lo Barnechea;Mujer;12,0;14,4
13;Metropolitana de Santiago;131;Santiago;13116;Lo Espejo;Total Comuna;9,2;10,7
13;Metropolitana de Santiago;131;Santiago;13116;Lo Espejo;Hombre;9,3;10,8
13;Metropolitana de Santiago;131;Santiago;13116;Lo Espejo;Mujer;9,2;10,6
13;Metropolitana de Santiago;131;Santiago;13117;Lo Prado;Total Comuna;10,0;11,4
13;Metropolitana de Santiago;131;Santiago;13117;Lo Prado;Hombre;10,0;11,5
13;Metropolitana de Santiago;131;Santiago;13117;Lo Prado;Mujer;9,9;11,2
13;Metropolitana de Santiago;131;Santiago;13118;Macul;Total Comuna;11,8;13,5
13;Metropolitana de Santiago;131;Santiago;13118;Macul;Hombre;11,8;13,6
13;Metropolitana de Santiago;131;Santiago;13118;Macul;Mujer;11,8;13,4
13;Metropolitana de Santiago;131;Santiago;13119;Maipú;Total Comuna;11,0;12,7
13;Metropolitana de Santiago;131;Santiago;13119;Maipú;Hombre;11,1;12,9
13;Metropolitana de Santiago;131;Santiago;13119;Maipú;Mujer;11,0;12,6
13;Metropolitana de Santiago;131;Santiago;13120;Ñuñoa;Total Comuna;13,7;15,5
13;Metropolitana de Santiago;131;Santiago;13120;Ñuñoa;Hombre;13,7;15,8
13;Metropolitana de Santiago;131;Santiago;13120;Ñuñoa;Mujer;13,7;15,3
13;Metropolitana de Santiago;131;Santiago;13121;Pedro Aguirre Cerda;Total Comuna;10,0;11,4
13;Metropolitana de Santiago;131;Santiago;13121;Pedro Aguirre Cerda;Hombre;10,0;11,5
13;Metropolitana de Santiago;131;Santiago;13121;Pedro Aguirre Cerda;Mujer;10,0;11,4
13;Metropolitana de Santiago;131;Santiago;13122;Peñalolén;Total Comuna;10,7;12,4
13;Metropolitana de Santiago;131;Santiago;13122;Peñalolén;Hombre;10,7;12,5
13;Metropolitana de Santiago;131;Santiago;13122;Peñalolén;Mujer;10,7;12,3
13;Metropolitana de Santiago;131;Santiago;13123;Providencia;Total Comuna;14,4;16,2
13;Metropolitana de Santiago;131;Santiago;13123;Providencia;Hombre;14,6;16,5
13;Metropolitana de Santiago;131;Santiago;13123;Providencia;Mujer;14,3;15,9
13;Metropolitana de Santiago;131;Santiago;13124;Pudahuel;Total Comuna;10,2;11,9
13;Metropolitana de Santiago;131;Santiago;13124;Pudahuel;Hombre;10,2;12,0
13;Metropolitana de Santiago;131;Santiago;13124;Pudahuel;Mujer;10,2;11,8
13;Metropolitana de Santiago;131;Santiago;13125;Quilicura;Total Comuna;10,4;12,3
13;Metropolitana de Santiago;131;Santiago;13125;Quilicura;Hombre;10,4;12,4
13;Metropolitana de Santiago;131;Santiago;13125;Quilicura;Mujer;10,4;12,2
13;Metropolitana de Santiago;131;Santiago;13126;Quinta Normal;Total Comuna;10,6;12,4
13;Metropolitana de Santiago;131;Santiago;13126;Quinta Normal;Hombre;10,6;12,4
13;Metropolitana de Santiago;131;Santiago;13126;Quinta Normal;Mujer;10,7;12,3
13;Metropolitana de Santiago;131;Santiago;13127;Recoleta;Total Comuna;10,2;11,8
